brand,processor_brand,processor_name,ram_,ssd,hdd,weight,latest_price
ASUS,Intel,Core i5,8,1024,0,Casual,84500
DELL,Intel,Core i5,8,1024,0,ThinNlight,74190
Lenovo,Intel,Core i5,8,1024,0,ThinNlight,64990
Lenovo,Intel,Core i5,8,512,512,ThinNlight,155411
Lenovo,Intel,Core i5,8,512,512,ThinNlight,125394
acer,Intel,Core i5,8,0,1024,Casual,49990
acer,Intel,Core i5,8,0,1024,ThinNlight,46990
DELL,Intel,Core i5,8,0,1024,ThinNlight,48990
acer,Intel,Core i5,8,0,1024,Casual,59999
ASUS,Intel,Core i5,8,0,1024,ThinNlight,46990
MSI,Intel,Core i5,8,0,1024,Casual,52990
Lenovo,Intel,Core i5,8,0,1024,Casual,57999
Lenovo,Intel,Core i5,8,0,1024,Casual,52490
Lenovo,Intel,Core i5,8,0,1024,Casual,56990
acer,Intel,Core i5,8,0,1024,ThinNlight,61990
DELL,Intel,Core i5,8,0,1024,Casual,58090
ASUS,Intel,Core i5,8,0,1024,Casual,56990
acer,Intel,Core i5,8,0,1024,ThinNlight,61597
ASUS,Intel,Core i5,8,0,1024,ThinNlight,81990
ASUS,Intel,Core i5,8,0,1024,Casual,61249
DELL,Intel,Core i5,8,0,1024,Casual,58990
ASUS,Intel,Core i5,8,0,1024,Casual,83990
MSI,Intel,Core i5,8,0,512,Casual,291190
MSI,Intel,Core i5,8,0,512,Casual,145990
MSI,Intel,Core i5,8,0,512,Casual,179990
HP,Intel,Core i5,8,0,1024,Casual,64990
HP,Intel,Core i5,8,0,1024,Casual,46790
HP,Intel,Core i5,4,0,1024,Casual,44599
acer,Intel,Core i5,8,0,1024,Casual,72964
HP,Intel,Core i5,8,0,1024,Casual,48790
acer,Intel,Core i5,8,0,1024,Casual,56491
ASUS,Intel,Core i5,8,256,1024,Casual,50990
ASUS,Intel,Core i5,8,256,1024,Gaming,55990
acer,Intel,Core i5,8,256,1024,Casual,57990
ASUS,Intel,Core i5,8,256,1024,Casual,52990
DELL,Intel,Core i5,8,256,1024,Casual,57990
acer,Intel,Core i5,8,256,1024,ThinNlight,56990
acer,Intel,Core i5,8,256,1024,Casual,55490
DELL,Intel,Core i5,8,256,1024,Casual,62490
